,code,year,hospital_stay_length,med_tech_availability_p_mil_ppl,expenditure_per_capita,life_expectancy,avoidable_deaths,health_expenditure_as_percent_gdp
268,HUN,2004,8.384027777777778,32.41916666666667,798.0,72.6487804878049,11143.5,7.758
269,HUN,2005,8.684722222222222,33.43333333333334,895.0,72.6487804878049,11347.5,7.985
270,HUN,2006,8.674305555555554,34.44416666666666,893.0,73.0975609756098,10820.5,7.778
271,HUN,2007,8.718055555555557,36.83083333333333,1003.0,73.1512195121951,10584.0,7.204
272,HUN,2008,8.90486111111111,35.096666666666664,1117.0,73.7024390243903,10217.5,7.088
273,HUN,2009,8.900694444444445,36.65833333333333,944.0,73.9048780487805,10213.0,7.222
274,HUN,2010,9.175,36.75833333333333,983.0,74.2073170731707,9907.0,7.449
275,HUN,2011,9.114685314685316,36.86333333333334,1063.0,74.8585365853659,9741.0,7.481
276,HUN,2012,9.202083333333333,36.785000000000004,961.0,75.0634146341463,9660.0,7.411
277,HUN,2013,9.056249999999999,38.17000000000001,991.0,75.5658536585366,9401.5,7.234
278,HUN,2014,9.064583333333333,38.5475,1006.0,75.7634146341463,9413.0,7.047
279,HUN,2015,9.338888888888889,39.015,871.0,75.5682926829269,611.8,6.854
280,HUN,2016,9.266666666666667,40.126666666666665,914.0,76.0634146341464,602.7,6.988
281,HUN,2017,9.458333333333334,41.790000000000006,985.0,75.8170731707317,9526.0,6.744
282,HUN,2018,9.427777777777777,27.37333333333333,1080.0,76.0658536585366,30282.0,6.58
283,HUN,2019,9.428275862068965,27.375,1054.0,76.3195121951219,29321.0,6.282
284,IRL,2007,7.665986394557823,25.185,4858.64501953,79.6414634146341,5191.5,7.808
285,IRL,2008,7.800680272108844,22.712142857142858,5638.77929688,80.0951219512195,5120.0,9.126
286,IRL,2009,7.836054421768708,20.75,5502.88769531,80.190243902439,5321.5,10.523
287,IRL,2010,7.5272108843537415,21.403,5133.45507813,80.7439024390244,4843.5,10.524
288,IRL,2011,7.627210884353741,22.117500000000003,5545.76416016,80.7463414634146,2934.0,10.599
289,IRL,2012,7.589795918367347,22.405,5210.36376953,80.8463414634146,2881.0,10.622
290,IRL,2013,6.833561643835616,23.056,5313.70947266,80.9487804878049,4994.5,10.287
291,IRL,2014,6.759183673469388,22.482499999999998,5316.26953125,81.3487804878049,4995.0,9.495
292,IRL,2015,7.054421768707483,23.72,4575.94482422,81.4536585365854,4761.5,7.321
293,IRL,2016,6.985034013605442,24.0985,4726.31298828,81.6536585365854,4901.5,7.482
