,code,country,year,set_healtchare_capita_outcomes
595,CAN,Canada,2011,2642.619
596,CAN,Canada,2011,100.0
597,CAN,Canada,2011,0.048
598,CAN,Canada,2011,194.226
599,CAN,Canada,2012,0.388
600,CAN,Canada,2012,6929.231
601,CAN,Canada,2012,0.004
602,CAN,Canada,2012,728.016
603,CAN,Canada,2012,71.771
604,CAN,Canada,2012,0.043
605,CAN,Canada,2012,0.272
606,CAN,Canada,2012,36.959
607,CAN,Canada,2012,63.041
608,CAN,Canada,2012,0.107
609,CAN,Canada,2012,1510.798
610,CAN,Canada,2012,0.169
611,CAN,Canada,2012,4973.18
612,CAN,Canada,2012,0.557
613,CAN,Canada,2012,28.229
614,CAN,Canada,2012,1252.706
615,CAN,Canada,2012,782.782
616,CAN,Canada,2012,17.795
617,CAN,Canada,2012,100.0
618,CAN,Canada,2012,51.812
619,CAN,Canada,2012,271.172
620,CAN,Canada,2012,100.0
621,CAN,Canada,2012,48.188
622,CAN,Canada,2012,82.205
623,CAN,Canada,2012,100.0
624,CAN,Canada,2012,1956.051
625,CAN,Canada,2012,0.015
626,CAN,Canada,2012,0.083
627,CAN,Canada,2012,30.346
628,CAN,Canada,2012,1523.878
629,CAN,Canada,2012,0.007
630,CAN,Canada,2012,0.011
631,CAN,Canada,2012,0.069
632,CAN,Canada,2012,100.0
633,CAN,Canada,2012,10170.21
634,CAN,Canada,2012,69.654
635,CAN,Canada,2012,76.247
636,CAN,Canada,2012,7083.959
637,CAN,Canada,2012,0.04
638,CAN,Canada,2012,130.056
639,CAN,Canada,2012,0.379
640,CAN,Canada,2012,3086.252
641,CAN,Canada,2012,100.0
642,CAN,Canada,2012,0.083
643,CAN,Canada,2012,206.303
644,CAN,Canada,2013,0.085
645,CAN,Canada,2013,0.352
646,CAN,Canada,2013,6321.455
647,CAN,Canada,2013,0.003
648,CAN,Canada,2013,472.854
649,CAN,Canada,2013,75.139
650,CAN,Canada,2013,0.033
651,CAN,Canada,2013,0.25
652,CAN,Canada,2013,38.737
653,CAN,Canada,2013,61.263
654,CAN,Canada,2013,0.083
655,CAN,Canada,2013,1101.521
656,CAN,Canada,2013,0.131
657,CAN,Canada,2013,4749.892
658,CAN,Canada,2013,0.483
659,CAN,Canada,2013,24.861
660,CAN,Canada,2013,1387.941
661,CAN,Canada,2013,628.667
662,CAN,Canada,2013,14.539
663,CAN,Canada,2013,100.0
664,CAN,Canada,2013,57.073
665,CAN,Canada,2013,236.115
666,CAN,Canada,2013,100.0
667,CAN,Canada,2013,42.927
668,CAN,Canada,2013,85.461
669,CAN,Canada,2013,100.0
670,CAN,Canada,2013,1571.563
671,CAN,Canada,2013,0.012
672,CAN,Canada,2013,27.116
673,CAN,Canada,2013,1624.056
674,CAN,Canada,2013,0.005
675,CAN,Canada,2013,0.008
676,CAN,Canada,2013,0.073
677,CAN,Canada,2013,100.0
678,CAN,Canada,2013,9192.222
679,CAN,Canada,2013,72.884
680,CAN,Canada,2013,56.243
681,CAN,Canada,2013,6699.635
682,CAN,Canada,2013,0.025
683,CAN,Canada,2013,88.947
684,CAN,Canada,2013,0.332
685,CAN,Canada,2013,2492.587
686,CAN,Canada,2013,100.0
687,CAN,Canada,2013,0.058
688,CAN,Canada,2013,145.189
689,CAN,Canada,2014,0.072
690,CAN,Canada,2014,0.316
691,CAN,Canada,2014,6056.511
692,CAN,Canada,2014,0.003
693,CAN,Canada,2014,500.252
694,CAN,Canada,2014,75.349
695,CAN,Canada,2014,0.028
696,CAN,Canada,2014,0.229
697,CAN,Canada,2014,40.231
698,CAN,Canada,2014,59.769
699,CAN,Canada,2014,0.075
700,CAN,Canada,2014,1061.629
701,CAN,Canada,2014,0.12
702,CAN,Canada,2014,4563.495
703,CAN,Canada,2014,0.436
704,CAN,Canada,2014,24.651
705,CAN,Canada,2014,1159.548
706,CAN,Canada,2014,561.376
707,CAN,Canada,2014,18.895
708,CAN,Canada,2014,100.0
709,CAN,Canada,2014,52.879
710,CAN,Canada,2014,270.132
711,CAN,Canada,2014,81.105
712,CAN,Canada,2014,47.121
713,CAN,Canada,2014,100.0
714,CAN,Canada,2014,1493.016
715,CAN,Canada,2014,0.014
716,CAN,Canada,2014,100.0
717,CAN,Canada,2014,27.417
718,CAN,Canada,2014,1429.68
719,CAN,Canada,2014,0.004
720,CAN,Canada,2014,0.007
721,CAN,Canada,2014,0.058
722,CAN,Canada,2014,100.0
723,CAN,Canada,2014,8696.006
724,CAN,Canada,2014,72.583
725,CAN,Canada,2014,59.616
726,CAN,Canada,2014,6311.865
727,CAN,Canada,2014,0.025
728,CAN,Canada,2014,88.57
729,CAN,Canada,2014,0.304
730,CAN,Canada,2014,2384.141
731,CAN,Canada,2014,100.0
732,CAN,Canada,2014,0.053
733,CAN,Canada,2014,148.186
734,CAN,Canada,2015,0.086
735,CAN,Canada,2015,0.319
736,CAN,Canada,2015,5613.864
737,CAN,Canada,2015,0.005
738,CAN,Canada,2015,768.734
739,CAN,Canada,2015,72.618
740,CAN,Canada,2015,0.039
741,CAN,Canada,2015,0.205
742,CAN,Canada,2015,49.857
743,CAN,Canada,2015,50.143
744,CAN,Canada,2015,0.077
745,CAN,Canada,2015,1543.281
746,CAN,Canada,2015,0.136
747,CAN,Canada,2015,4076.693
748,CAN,Canada,2015,0.456
749,CAN,Canada,2015,27.382
750,CAN,Canada,2015,1402.776
751,CAN,Canada,2015,774.547
752,CAN,Canada,2015,17.619
753,CAN,Canada,2015,100.0
754,CAN,Canada,2015,50.188
755,CAN,Canada,2015,300.025
756,CAN,Canada,2015,100.0
757,CAN,Canada,2015,82.381
758,CAN,Canada,2015,49.812
759,CAN,Canada,2015,100.0
760,CAN,Canada,2015,1537.172
761,CAN,Canada,2015,0.015
762,CAN,Canada,2015,29.944
763,CAN,Canada,2015,1702.801
764,CAN,Canada,2015,0.005
765,CAN,Canada,2015,0.01
766,CAN,Canada,2015,0.07
767,CAN,Canada,2015,100.0
768,CAN,Canada,2015,9067.057
769,CAN,Canada,2015,70.056
770,CAN,Canada,2015,103.26
771,CAN,Canada,2015,6352.054
772,CAN,Canada,2015,0.039
773,CAN,Canada,2015,103.851
774,CAN,Canada,2015,0.282
775,CAN,Canada,2015,2715.003
776,CAN,Canada,2015,100.0
777,CAN,Canada,2015,0.078
778,CAN,Canada,2015,207.111
779,CAN,Canada,2016,0.068
