country,year,length_stay
Chile,2007,5.8
Chile,2006,5.7
Chile,2005,5.6
Chile,2004,6.0
Chile,2003,6.0
Chile,2002,6.1
Chile,2001,6.0
Chile,2018,9.4
Chile,2017,9.2
Chile,2016,8.8
Chile,2015,8.5
Chile,2014,7.5
Chile,2013,7.5
Chile,2012,7.2
Chile,2011,7.3
Chile,2010,7.6
Chile,2009,7.2
Chile,2008,7.5
Chile,2007,7.6
Chile,2006,7.1
Chile,2005,7.2
Chile,2004,7.1
Chile,2003,7.4
Chile,2002,8.3
Chile,2001,7.3
Chile,2003,7.3
Chile,2002,7.4
Chile,2001,6.5
Chile,2018,2.1
Chile,2017,2.0
Chile,2016,2.0
Chile,2015,1.9
Chile,2014,2.0
Chile,2013,2.4
Chile,2012,3.1
Chile,2011,2.3
Chile,2010,2.4
Chile,2009,2.4
Chile,2008,2.4
Chile,2007,2.5
Chile,2006,2.6
Chile,2005,2.6
Chile,2004,2.6
Chile,2003,2.8
Chile,2002,3.1
Chile,2001,2.9
Chile,2018,1.2
Chile,2017,1.2
Chile,2016,1.2
Chile,2015,1.2
Chile,2014,1.2
Chile,2013,1.3
Chile,2012,1.2
Chile,2011,1.2
Chile,2010,1.2
Chile,2009,1.2
Chile,2008,1.3
Chile,2007,1.3
Chile,2006,1.4
Chile,2005,1.3
Chile,2004,1.5
Chile,2003,1.6
Chile,2002,1.4
Chile,2001,1.4
Chile,2018,4.3
Chile,2017,4.3
Chile,2016,4.6
Chile,2015,4.4
Chile,2014,4.3
Chile,2013,4.4
Chile,2012,4.3
Chile,2011,4.0
Chile,2010,4.2
Chile,2009,4.1
Chile,2008,4.1
Chile,2007,4.3
Chile,2006,4.2
Chile,2005,4.2
Chile,2004,4.5
Chile,2003,4.6
Chile,2002,4.5
Chile,2001,4.6
Chile,2018,8.1
Chile,2017,8.0
Chile,2016,9.0
Chile,2015,8.0
Chile,2014,8.6
Chile,2016,4.4
Chile,2015,4.4
Chile,2014,4.5
Chile,2013,4.5
Chile,2012,4.4
Chile,2011,4.4
Chile,2010,4.5
Chile,2009,4.5
Chile,2008,4.5
Chile,2007,4.5
Chile,2006,4.4
Chile,2005,4.4
Chile,2004,4.7
Chile,2003,4.8
Chile,2002,4.8
Chile,2001,4.9
Chile,2018,12.4
Chile,2017,13.6
Chile,2016,11.9
Chile,2015,11.8
Chile,2014,12.1
Chile,2013,11.7
Chile,2012,11.2
Chile,2011,9.6
Chile,2010,10.5
Chile,2009,10.0
Chile,2008,10.3
Chile,2007,9.6
Chile,2006,9.5
Chile,2005,9.1
Chile,2004,10.7
Chile,2003,9.9
Chile,2002,9.7
Chile,2001,9.7
Chile,2018,4.1
Chile,2017,4.5
Chile,2016,4.4
Chile,2015,4.3
Chile,2014,4.4
Chile,2013,4.9
